time_in_seconds;cap_sensor;licht;temperatur
5237;1749.523925781250;1089.523803710938;1000.073303222656
5254;1751.941528320312;1090.329711914062;984.761962890625
5272;1754.359008789062;1091.135620117188;989.597106933594
5290;1747.106323242188;1089.523803710938;987.179504394531
5307;1751.135620117188;1095.970703125000;983.956054687500
5325;1748.718017578125;1096.776611328125;991.208801269531
5343;1740.659423828125;1091.941406250000;1004.102600097656
5360;1744.688720703125;1095.164916992188;992.014709472656
5378;1751.135620117188;1093.553100585938;1000.073303222656
5396;1758.388427734375;1095.164916992188;989.597106933594
5413;1731.794921875000;1093.553100585938;994.432250976562
5431;1756.776611328125;1096.776611328125;1002.490905761719
5449;1746.300415039062;1093.553100585938;1005.714294433594
5466;1743.077026367188;1097.582397460938;1004.908447265625
5484;1743.077026367188;1100.000000000000;998.461547851562
5502;1742.271118164062;1101.611694335938;992.014709472656
5519;1743.077026367188;1097.582397460938;1007.326049804688
5537;1751.135620117188;1102.417602539062;992.014709472656
5555;1747.106323242188;1103.223510742188;996.044006347656
5572;1760.805908203125;1104.835205078125;985.567810058594
5590;1747.106323242188;1100.805908203125;992.014709472656
5608;1734.212524414062;1102.417602539062;991.208801269531
5625;1747.106323242188;1101.611694335938;993.626403808594
5643;1743.077026367188;1100.000000000000;1000.879150390625
5660;1747.106323242188;1115.311401367188;996.849853515625
5678;1743.077026367188;1106.446899414062;987.179504394531
5696;1748.718017578125;1105.641113281250;990.402954101562
5714;1742.271118164062;1103.223510742188;1004.908447265625
5731;1737.436035156250;1118.534790039062;992.014709472656
5749;1733.406738281250;1101.611694335938;1003.296752929688
5767;1748.718017578125;1112.893798828125;1007.326049804688
5784;1755.970825195312;1104.835205078125;1009.743652343750
5802;1744.688720703125;1118.534790039062;992.014709472656
5819;1765.641113281250;1109.670410156250;988.791259765625
5837;1753.553222656250;1106.446899414062;992.014709472656
5855;1737.436035156250;1107.252807617188;999.267456054688
5873;1743.882934570312;1105.641113281250;1008.131896972656
5890;1745.494628906250;1108.864501953125;994.432250976562
5908;1748.718017578125;1115.311401367188;1004.102600097656
5925;1747.912231445312;1109.670410156250;993.626403808594
5943;1747.106323242188;1111.282104492188;1005.714294433594
5961;1734.212524414062;1108.864501953125;982.344360351562
5979;1747.106323242188;1109.670410156250;993.626403808594
